locationid,stateabbr,locationname,totalpopulation,High blood pressure,Current smoking,Diabetes,Physical inactivity,Obesity
37103,NC,Jones,9401,46.3,18.1,17.0,30.9,40.0
37105,NC,Lee,67059,38.4,15.5,13.5,27.4,37.8
37107,NC,Lenoir,54895,46.9,19.3,17.8,34.2,42.4
37109,NC,Lincoln,95675,37.6,14.0,11.5,22.9,35.0
37111,NC,McDowell,44893,39.8,17.0,13.0,26.3,35.2
37113,NC,Macon,38412,43.5,14.9,14.2,27.0,35.3
37115,NC,Madison,22071,38.3,13.9,11.6,23.0,34.6
37117,NC,Martin,21447,47.5,17.3,17.8,31.2,40.4
37119,NC,Mecklenburg,1163701,31.0,10.8,10.1,20.9,29.7
37121,NC,Mitchell,14999,40.3,14.6,12.8,24.9,37.2
37123,NC,Montgomery,26085,42.8,16.4,15.1,28.9,38.7
37125,NC,Moore,106898,38.3,11.4,11.5,21.0,32.6
37127,NC,Nash,96551,42.5,15.6,15.0,28.9,38.4
37129,NC,New Hanover,238852,34.7,11.6,10.6,20.9,31.1
37131,NC,Northampton,16715,52.0,17.2,20.3,33.6,42.7
37133,NC,Onslow,213676,28.8,13.3,8.6,20.9,33.4
37135,NC,Orange,150626,30.2,9.3,9.3,18.1,28.0
37137,NC,Pamlico,12423,46.0,14.3,15.2,26.5,36.0
37139,NC,Pasquotank,41444,39.3,13.9,13.0,25.2,38.3
37141,NC,Pender,68521,37.3,14.3,11.8,22.1,36.3
37143,NC,Perquimans,13377,44.9,15.2,15.3,27.4,37.3
37145,NC,Person,39737,43.2,16.2,14.9,28.4,38.8
37147,NC,Pitt,175119,34.7,13.8,12.0,25.2,39.0
37149,NC,Polk,20060,43.8,13.0,14.1,25.1,35.2
37151,NC,Randolph,147458,39.1,16.7,13.2,27.8,39.9
37153,NC,Richmond,42324,43.9,19.5,16.4,32.1,42.9
37155,NC,Robeson,117365,45.6,22.5,18.4,35.6,47.9
37157,NC,Rockingham,92518,42.5,17.3,14.5,28.6,37.3
37159,NC,Rowan,151661,37.7,15.9,12.7,27.3,37.4
37161,NC,Rutherford,65507,41.7,17.3,14.4,28.8,38.1
37163,NC,Sampson,59601,42.6,17.2,15.6,30.6,41.8
37165,NC,Scotland,34376,46.1,21.3,17.4,33.7,45.2
37167,NC,Stanly,65699,38.4,16.0,12.7,25.4,36.3
37169,NC,Stokes,45532,41.0,16.2,13.2,26.3,37.1
37171,NC,Surry,71462,40.4,17.1,13.7,28.8,40.9
37173,NC,Swain,13916,41.7,19.8,15.2,28.0,40.7
37175,NC,Transylvania,33549,42.3,12.0,12.9,22.3,33.7
37177,NC,Tyrrell,3461,46.2,18.1,17.5,32.1,41.3
37179,NC,Union,256452,33.6,11.9,10.5,21.6,33.4
37181,NC,Vance,42301,45.1,17.3,16.8,31.3,42.6
37183,NC,Wake,1190275,32.2,9.6,9.5,18.0,29.3
37185,NC,Warren,18836,50.4,18.6,20.0,33.8,43.9
37187,NC,Washington,10713,51.8,19.0,20.6,35.0,43.6
37189,NC,Watauga,54748,31.3,12.3,9.8,21.5,33.0
37191,NC,Wayne,118686,41.1,16.2,14.2,28.3,39.5
37193,NC,Wilkes,66013,41.5,17.1,13.9,28.0,38.0
37195,NC,Wilson,78970,44.7,18.0,16.8,31.9,38.4
37197,NC,Yadkin,37774,40.6,16.3,13.3,27.1,36.3
37199,NC,Yancey,18938,41.4,15.9,13.7,26.5,35.6
38001,ND,Adams,2163,41.2,15.3,14.1,29.0,34.8
38003,ND,Barnes,10726,36.2,13.3,11.5,23.8,37.7
38005,ND,Benson,5745,40.3,22.0,15.4,31.3,43.3
38007,ND,Billings,1034,38.5,13.5,12.1,24.8,36.4
38009,ND,Bottineau,6349,38.8,13.4,11.9,24.4,37.7
38011,ND,Bowman,2867,36.7,13.6,11.4,24.5,36.3
38013,ND,Burke,2134,37.2,13.1,11.1,22.6,37.3
38015,ND,Burleigh,100012,30.8,11.8,9.3,18.4,35.2
38017,ND,Cass,196362,27.5,11.2,7.9,17.6,33.8
38019,ND,Cavalier,3596,39.7,12.4,11.8,23.9,39.5
38021,ND,Dickey,4900,35.1,13.8,11.2,24.3,38.7
38023,ND,Divide,2135,38.6,14.1,12.6,25.6,37.4
38025,ND,Dunn,4019,35.2,14.8,11.5,24.0,36.7
38027,ND,Eddy,2263,39.1,16.2,13.5,27.5,38.7
38029,ND,Emmons,3224,40.8,14.7,13.5,26.0,38.1
38031,ND,Foster,3309,37.8,13.3,11.8,24.4,35.7
38033,ND,Golden Valley,1743,41.1,15.6,13.7,28.7,37.6
38035,ND,Grand Forks,72708,28.2,11.3,9.1,21.5,35.2
38037,ND,Grant,2215,44.5,16.4,15.2,30.9,41.3
38039,ND,Griggs,2248,41.0,12.3,12.3,23.9,36.8
38041,ND,Hettinger,2415,37.3,14.5,11.7,25.1,37.4
38043,ND,Kidder,2342,39.7,14.5,12.8,26.9,39.9
38045,ND,LaMoure,4096,38.2,13.8,12.5,25.8,34.4
38047,ND,Logan,1869,40.5,14.9,13.2,27.9,39.8
38049,ND,McHenry,5131,38.4,15.2,11.9,26.2,42.1
38051,ND,McIntosh,2488,42.4,15.6,14.4,29.2,35.8
38053,ND,McKenzie,14252,30.4,15.2,9.6,23.9,41.1
38055,ND,McLean,9832,39.0,13.6,12.1,25.2,40.2
38057,ND,Mercer,8309,38.2,15.1,12.2,25.3,39.8
38059,ND,Morton,33895,32.6,13.5,9.6,22.5,38.6
38061,ND,Mountrail,9383,34.7,19.2,12.8,29.8,42.2
38063,ND,Nelson,2991,40.0,13.2,12.4,23.8,39.6
38065,ND,Oliver,1879,37.3,13.1,11.7,24.0,34.6
38067,ND,Pembina,6661,38.5,14.7,12.8,26.5,41.9
38069,ND,Pierce,3902,36.9,14.2,12.1,25.8,40.7
38071,ND,Ramsey,11463,36.8,15.4,12.3,26.0,40.8
38073,ND,Ransom,5603,36.9,14.8,12.1,25.1,37.9
38075,ND,Renville,2279,36.2,14.1,11.1,24.4,39.0
38077,ND,Richland,16558,34.7,13.2,10.5,23.7,36.1
38079,ND,Rolette,11728,40.3,25.9,17.9,34.5,50.2
38081,ND,Sargent,3776,36.7,13.8,11.8,24.5,41.2
38083,ND,Sheridan,1266,44.1,13.8,13.9,28.2,36.2
38085,ND,Sioux,3643,41.3,32.9,20.2,39.1,49.1
38087,ND,Slope,674,44.4,15.2,14.6,27.0,38.3
38089,ND,Stark,33001,31.7,14.1,9.5,23.5,37.4
38091,ND,Steele,1782,38.8,14.2,12.7,24.9,35.0
38093,ND,Stutsman,21392,33.7,15.3,10.9,24.7,39.7
38095,ND,Towner,2030,43.3,16.9,15.0,30.3,43.9
38097,ND,Traill,7908,34.3,12.3,10.5,22.5,38.2
38099,ND,Walsh,10305,37.4,14.8,12.4,26.7,35.8
38101,ND,Ward,68332,31.4,12.6,8.8,22.6,33.9
38103,ND,Wells,3876,40.6,14.7,13.8,27.0,37.8
38105,ND,Williams,39113,30.4,15.6,8.9,24.1,40.4
39001,OH,Adams,27521,40.6,21.9,15.7,35.3,40.3
39003,OH,Allen,100838,38.7,17.0,14.5,29.3,39.7
39005,OH,Ashland,52190,40.4,17.7,13.9,30.7,38.3
39007,OH,Ashtabula,96845,41.7,20.1,16.2,34.5,45.8
39009,OH,Athens,62706,33.4,15.2,11.5,24.8,34.5
39011,OH,Auglaize,46050,37.6,15.3,12.2,26.5,39.5
39013,OH,Belmont,64918,41.4,18.1,14.5,32.1,40.9
39015,OH,Brown,43777,42.2,19.7,14.5,34.1,41.6
39017,OH,Butler,393043,35.3,14.6,12.5,27.8,39.0
39019,OH,Carroll,26758,41.1,19.0,14.9,32.4,38.9
39021,OH,Champaign,38845,38.0,16.4,12.7,27.5,43.2
39023,OH,Clark,134610,41.6,17.9,15.0,33.5,42.2
39025,OH,Clermont,211972,36.2,15.6,12.6,25.3,34.7
39027,OH,Clinton,41938,38.1,17.7,13.5,30.3,39.7
39029,OH,Columbiana,100182,42.1,18.5,15.2,32.0,41.1
39031,OH,Coshocton,36869,41.3,20.1,15.3,32.3,41.5
39033,OH,Crawford,41529,40.0,18.3,14.6,32.2,39.5
39035,OH,Cuyahoga,1233088,38.5,14.8,13.4,24.7,35.3
39037,OH,Darke,51415,39.7,17.7,14.3,30.0,36.4
39039,OH,Defiance,38315,37.2,15.9,13.3,27.8,35.3
39041,OH,Delaware,231636,31.3,10.1,10.1,17.7,31.5
39043,OH,Erie,74035,41.6,14.9,14.4,28.0,40.1
39045,OH,Fairfield,165360,36.3,14.4,12.2,24.4,35.6
39047,OH,Fayette,28817,41.6,19.9,14.3,32.3,41.3
39049,OH,Franklin,1326063,32.9,13.9,11.8,23.7,33.7
39051,OH,Fulton,42007,37.8,15.1,13.3,27.3,37.0
39053,OH,Gallia,28986,41.5,20.8,15.3,35.2,36.6
39055,OH,Geauga,95407,37.5,12.8,12.4,23.2,32.6
39057,OH,Greene,169691,35.4,12.3,11.2,22.6,37.8
39059,OH,Guernsey,38089,40.2,19.0,14.8,32.5,38.3
39061,OH,Hamilton,827058,36.3,13.9,13.2,24.4,35.6
39063,OH,Hancock,74704,36.2,14.5,12.5,26.7,39.3
39065,OH,Hardin,30368,38.1,17.7,12.9,30.4,40.3
39067,OH,Harrison,14159,43.0,19.0,15.6,31.6,41.4
39069,OH,Henry,27520,38.1,15.8,13.1,28.0,38.6
39071,OH,Highland,43614,40.1,19.5,14.7,32.7,41.3
39073,OH,Hocking,27540,42.5,20.5,15.7,33.4,36.1
39075,OH,Holmes,44386,35.3,21.5,12.7,33.9,38.2
39077,OH,Huron,58199,37.7,17.2,13.5,30.3,35.0
39079,OH,Jackson,32606,42.7,20.1,14.9,33.8,44.9
39081,OH,Jefferson,64026,41.9,17.6,15.1,31.3,42.5
39083,OH,Knox,63320,37.5,15.5,12.6,27.6,37.1
39085,OH,Lake,231640,37.9,14.5,12.9,25.4,36.9
39087,OH,Lawrence,56118,42.9,19.6,15.1,32.4,41.6
39089,OH,Licking,183201,35.5,15.4,12.9,24.1,37.5
39091,OH,Logan,46057,39.0,17.5,14.0,29.2,39.3
39093,OH,Lorain,317910,38.8,15.0,14.2,29.0,36.8
39095,OH,Lucas,425484,37.2,16.4,14.0,29.8,36.1
39097,OH,Madison,44602,37.5,16.5,12.4,26.9,37.3
39099,OH,Mahoning,225596,40.2,16.9,14.8,28.2,38.6
39101,OH,Marion,64851,41.3,19.6,14.8,33.8,44.2
39103,OH,Medina,184042,37.1,13.1,11.9,24.2,36.3
39105,OH,Meigs,21767,45.1,22.5,17.3,39.1,44.5
39107,OH,Mercer,42439,37.8,15.0,12.1,27.5,36.3
39109,OH,Miami,110876,37.2,15.3,12.7,26.1,33.6
39111,OH,Monroe,13153,43.3,20.0,16.1,34.0,40.4
39113,OH,Montgomery,533796,37.0,15.2,14.5,29.3,37.0
39115,OH,Morgan,13646,43.1,19.5,16.0,33.5,41.1
39117,OH,Morrow,35595,38.2,17.8,13.8,29.8,40.0
39119,OH,Muskingum,86305,39.9,18.1,14.4,29.9,43.9
39121,OH,Noble,14311,47.9,18.5,18.0,33.6,41.6
39123,OH,Ottawa,39803,41.9,14.0,13.8,28.4,38.0
39125,OH,Paulding,18706,40.0,17.2,14.1,30.8,41.3
39127,OH,Perry,35551,40.5,19.3,14.3,32.1,38.6
39129,OH,Pickaway,61086,38.7,17.9,12.6,29.4,39.8
39131,OH,Pike,27001,43.7,22.9,16.2,36.6,43.2
39133,OH,Portage,162665,34.7,14.5,11.8,25.0,32.9
39135,OH,Preble,40556,39.0,17.0,13.4,30.3,39.7
39137,OH,Putnam,34199,36.6,14.0,12.3,24.7,43.7
39139,OH,Richland,125064,38.9,18.0,14.5,30.2,39.0
39141,OH,Ross,76501,40.7,19.8,15.0,30.8,44.3
39143,OH,Sandusky,58709,39.7,16.6,14.4,29.3,40.7
39145,OH,Scioto,71969,43.6,20.8,15.3,35.9,44.7
39147,OH,Seneca,54527,36.0,16.4,13.2,29.3,35.8
39149,OH,Shelby,47765,38.2,17.0,13.3,29.3,39.6
39151,OH,Stark,372716,38.5,17.1,13.7,29.1,40.4
39153,OH,Summit,535733,37.5,14.6,13.7,26.2,37.6
39155,OH,Trumbull,200373,40.2,18.4,15.5,31.3,39.7
39157,OH,Tuscarawas,91874,39.9,17.5,13.6,29.9,43.4
39159,OH,Union,69637,32.0,12.6,10.2,23.2,39.8
39161,OH,Van Wert,28704,38.8,16.5,13.2,29.3,37.3
39163,OH,Vinton,12474,41.2,21.2,15.4,33.0,40.3
39165,OH,Warren,252148,32.2,12.2,11.0,20.4,32.6
39167,OH,Washington,58577,41.2,17.0,13.8,29.9,43.7
