locationid,stateabbr,locationname,totalpopulation,High blood pressure,Current smoking,Diabetes,Physical inactivity,Obesity
41065,OR,Wasco,26333,35.4,14.5,13.3,23.6,37.9
41067,OR,Washington,598865,29.9,9.7,9.9,17.7,32.4
41069,OR,Wheeler,1436,45.2,14.1,16.5,25.8,35.8
41071,OR,Yamhill,108644,33.2,11.8,11.2,20.8,37.0
44001,RI,Bristol,50255,32.4,10.1,9.8,18.8,25.6
44003,RI,Kent,171278,36.8,12.7,11.8,23.7,33.0
44005,RI,Newport,83832,35.1,9.2,10.3,20.1,27.4
44007,RI,Providence,660615,33.0,12.2,11.6,28.7,33.4
44009,RI,Washington,129982,33.1,9.5,9.0,17.8,27.0
45001,SC,Abbeville,24434,43.7,16.0,16.9,31.0,37.6
45003,SC,Aiken,177130,38.9,13.4,13.9,26.5,34.4
45005,SC,Allendale,7369,50.1,19.0,21.6,38.4,46.7
45007,SC,Anderson,213076,38.0,14.2,13.3,26.4,36.3
45009,SC,Bamberg,12974,47.1,16.3,19.5,32.7,42.0
45011,SC,Barnwell,20447,45.7,19.5,19.4,36.2,44.2
45013,SC,Beaufort,198979,38.2,9.6,12.7,19.9,29.6
45015,SC,Berkeley,255217,36.4,12.9,12.9,25.6,37.9
45017,SC,Calhoun,14186,45.3,14.1,17.3,29.1,40.7
45019,SC,Charleston,424367,32.3,10.5,11.4,20.3,30.0
45021,SC,Cherokee,56714,39.8,17.3,15.0,31.4,38.8
45023,SC,Chester,32226,43.8,17.8,16.9,32.8,37.9
45025,SC,Chesterfield,44031,44.6,18.1,18.1,34.6,45.2
45027,SC,Clarendon,31004,48.1,16.9,19.6,33.7,38.0
45029,SC,Colleton,38874,44.1,17.6,17.3,33.2,39.3
45031,SC,Darlington,62416,44.6,16.4,17.6,30.3,45.6
45033,SC,Dillon,27698,47.4,21.0,20.3,35.8,45.3
45035,SC,Dorchester,169833,35.3,13.2,12.8,24.6,35.4
45037,SC,Edgefield,27607,40.3,16.3,16.2,29.0,39.9
45039,SC,Fairfield,20422,49.1,17.2,20.5,33.4,45.7
45041,SC,Florence,137214,42.6,14.8,15.5,30.1,40.6
45043,SC,Georgetown,65731,44.1,11.9,16.9,25.2,31.8
45045,SC,Greenville,558036,35.6,11.3,12.2,23.2,32.5
45047,SC,Greenwood,69460,40.8,15.0,15.4,28.5,36.8
45049,SC,Hampton,18122,46.7,19.1,20.2,35.1,41.6
45051,SC,Horry,397478,42.0,14.6,14.9,25.0,32.3
45053,SC,Jasper,33544,43.3,14.0,17.0,30.2,35.0
45055,SC,Kershaw,69905,40.1,14.5,14.8,27.5,36.6
45057,SC,Lancaster,108215,37.3,12.6,14.1,26.5,36.1
45059,SC,Laurens,68873,40.5,16.5,15.6,31.9,36.3
45061,SC,Lee,15967,48.3,18.6,20.1,36.2,43.7
45063,SC,Lexington,309528,37.1,13.0,12.3,25.9,36.2
45065,SC,McCormick,9941,51.5,14.6,20.6,30.6,36.9
45067,SC,Marion,28508,49.6,20.1,22.0,36.8,45.3
45069,SC,Marlboro,25704,49.1,21.0,20.5,38.8,41.0
45071,SC,Newberry,38825,42.4,15.3,16.1,30.8,38.1
45073,SC,Oconee,81221,39.8,14.7,15.3,28.6,38.2
45075,SC,Orangeburg,82820,47.3,16.4,19.0,33.9,42.2
45077,SC,Pickens,135495,34.9,13.5,12.1,25.6,35.4
45079,SC,Richland,425138,36.5,11.2,13.0,21.7,34.7
45081,SC,Saluda,19123,42.4,15.9,16.8,32.2,43.6
45083,SC,Spartanburg,356698,38.2,14.2,13.5,27.4,37.9
45085,SC,Sumter,104165,41.6,15.0,15.8,27.4,42.7
45087,SC,Union,26629,47.4,19.2,19.1,34.0,44.0
45089,SC,Williamsburg,29891,49.9,17.5,20.4,34.9,45.0
45091,SC,York,298320,35.5,11.3,11.8,23.3,37.3
46003,SD,Aurora,2782,34.7,15.4,12.2,25.2,36.4
46005,SD,Beadle,19591,34.9,16.9,13.4,29.7,35.4
46007,SD,Bennett,3305,38.9,28.0,18.7,35.1,42.4
46009,SD,Bon Homme,7065,36.7,17.7,12.8,26.7,37.0
46011,SD,Brookings,35980,25.5,10.7,8.5,18.4,35.7
46013,SD,Brown,37733,31.7,14.1,11.2,24.4,35.1
46015,SD,Brule,5311,37.0,16.4,13.2,26.2,38.2
46017,SD,Buffalo,1884,35.6,31.7,17.5,36.4,48.5
46019,SD,Butte,10863,35.8,16.8,12.5,27.7,35.7
46021,SD,Campbell,1340,40.0,13.7,13.8,25.7,33.0
46023,SD,Charles Mix,9240,38.3,20.4,15.3,30.0,40.4
46025,SD,Clark,3948,36.6,16.5,13.1,27.3,34.1
46027,SD,Clay,15431,24.5,12.4,8.1,21.7,34.7
46029,SD,Codington,28971,33.2,16.2,12.1,26.5,35.9
46031,SD,Corson,3782,40.1,29.6,19.9,37.3,43.5
46033,SD,Custer,9117,40.3,13.9,13.9,25.1,33.9
46035,SD,Davison,19922,35.6,15.6,12.2,25.4,38.0
46037,SD,Day,5451,39.2,16.6,14.7,26.8,34.8
46039,SD,Deuel,4354,34.6,14.8,11.9,23.9,33.3
46041,SD,Dewey,5208,38.1,29.5,18.0,36.3,43.6
46043,SD,Douglas,2838,38.2,15.8,13.6,26.3,35.1
46045,SD,Edmunds,4057,36.5,14.7,12.4,23.1,33.7
46047,SD,Fall River,7393,43.1,17.4,16.4,30.5,38.0
46049,SD,Faulk,2151,38.6,17.2,14.4,27.8,36.3
46051,SD,Grant,7553,36.5,14.7,12.8,26.5,37.3
46053,SD,Gregory,4018,38.9,16.2,14.1,27.0,35.9
46055,SD,Haakon,1851,38.0,15.7,13.5,26.8,33.7
46057,SD,Hamlin,6451,30.3,14.6,10.1,23.2,34.6
46059,SD,Hand,3107,35.7,13.0,11.9,22.8,33.9
46061,SD,Hanson,3471,33.9,16.8,12.1,24.2,36.6
46063,SD,Harding,1324,34.0,13.3,11.2,21.4,35.3
46065,SD,Hughes,17624,32.0,13.7,10.8,21.9,34.0
46067,SD,Hutchinson,7394,35.3,14.6,12.1,24.0,34.4
46069,SD,Hyde,1186,37.4,16.3,13.6,26.1,35.3
46071,SD,Jackson,2776,40.2,28.5,18.6,35.2,40.9
46073,SD,Jerauld,1660,39.2,14.5,13.8,26.2,35.6
46075,SD,Jones,855,41.0,16.2,14.7,27.2,35.4
46077,SD,Kingsbury,5276,35.5,14.7,12.1,24.6,35.6
46079,SD,Lake,11031,35.8,13.2,12.0,22.5,32.5
46081,SD,Lawrence,28053,33.0,14.2,11.4,23.5,32.7
46083,SD,Lincoln,73238,28.9,11.6,8.8,17.6,34.9
46085,SD,Lyman,3705,38.7,21.4,15.8,30.1,40.1
46087,SD,McCook,5809,32.8,14.0,11.0,22.9,36.1
46089,SD,McPherson,2334,40.9,16.2,14.8,29.2,34.9
46091,SD,Marshall,4390,36.0,15.2,12.7,24.7,35.9
46093,SD,Meade,30954,31.3,14.1,9.5,21.4,30.4
46095,SD,Mellette,1851,42.5,30.2,21.1,38.5,45.6
46097,SD,Miner,2280,37.7,15.9,13.3,26.6,35.7
46099,SD,Minnehaha,206930,31.7,14.2,10.6,23.3,37.4
46101,SD,Moody,6450,34.1,14.5,12.1,23.8,33.6
46102,SD,Oglala Lakota,13434,38.9,39.8,21.1,40.1,47.0
46103,SD,Pennington,115903,34.6,15.0,12.1,23.3,33.7
46105,SD,Perkins,2834,38.7,16.0,14.3,26.6,36.0
46107,SD,Potter,2413,37.9,13.6,13.1,24.3,34.8
46109,SD,Roberts,10206,39.6,20.3,16.3,31.7,43.0
46111,SD,Sanborn,2399,35.9,16.1,12.6,25.5,36.3
46115,SD,Spink,6166,37.3,15.1,12.9,25.6,36.0
46117,SD,Stanley,3043,33.6,13.4,11.1,21.8,35.2
46119,SD,Sully,1494,37.6,13.7,12.5,23.4,34.7
46121,SD,Todd,9199,38.5,37.2,20.7,40.8,49.3
46123,SD,Tripp,5621,39.9,18.9,15.3,29.4,37.0
46125,SD,Turner,9027,34.3,15.0,11.8,24.2,34.0
46127,SD,Union,17183,32.0,12.8,10.6,21.1,31.2
46129,SD,Walworth,5269,36.7,15.7,13.4,25.1,34.3
46135,SD,Yankton,23517,35.0,13.8,11.8,24.5,38.3
46137,SD,Ziebach,2322,39.4,30.4,18.7,37.8,47.2
47001,TN,Anderson,80234,41.8,18.5,14.1,27.4,42.0
47003,TN,Bedford,53055,39.4,19.4,13.5,29.6,44.4
47005,TN,Benton,16103,46.0,22.4,16.9,33.8,40.8
47007,TN,Bledsoe,15060,45.7,25.6,17.3,34.7,41.9
47009,TN,Blount,141456,40.8,16.6,13.4,25.8,36.3
47011,TN,Bradley,111579,40.8,17.6,13.4,25.9,41.5
47013,TN,Campbell,40223,43.5,22.8,15.7,32.3,42.6
47015,TN,Cannon,15063,41.5,20.8,14.5,29.5,43.1
47017,TN,Carroll,28860,42.0,19.8,15.2,30.3,42.8
47019,TN,Carter,57022,44.7,20.5,15.9,31.4,37.9
47021,TN,Cheatham,42254,38.1,17.4,12.4,24.6,39.6
47023,TN,Chester,17606,39.8,19.4,13.9,28.6,39.0
47025,TN,Claiborne,32654,42.6,20.9,15.0,30.3,42.3
47027,TN,Clay,7714,47.4,23.1,17.8,34.2,39.9
47029,TN,Cocke,37404,45.5,23.9,17.2,33.3,40.3
47031,TN,Coffee,60633,41.6,19.9,13.9,28.3,39.5
47033,TN,Crockett,13982,42.7,19.5,15.5,30.9,42.1
47035,TN,Cumberland,64760,49.0,19.4,17.3,29.7,39.5
47037,TN,Davidson,712334,33.3,14.0,11.2,24.7,32.3
47039,TN,Decatur,11656,46.5,23.8,17.8,33.5,43.0
47041,TN,DeKalb,21225,43.6,22.2,15.9,32.2,40.4
47043,TN,Dickson,56729,37.6,18.0,12.7,27.1,37.6
47045,TN,Dyer,36498,42.6,20.1,14.9,30.5,39.4
47047,TN,Fayette,44175,45.1,16.5,15.9,26.8,39.0
47049,TN,Fentress,19696,45.6,22.5,17.1,32.6,44.9
47051,TN,Franklin,44654,40.7,17.7,13.9,28.8,35.0
47053,TN,Gibson,51045,41.5,20.1,14.7,29.8,39.6
47055,TN,Giles,30721,43.1,19.5,15.4,28.8,39.8
47057,TN,Grainger,24681,43.3,21.3,15.7,30.8,41.2
47059,TN,Greene,72577,42.3,20.6,15.4,31.1,40.6
47061,TN,Grundy,13955,44.5,24.2,16.5,33.0,40.6
47063,TN,Hamblen,66216,41.4,20.9,15.2,31.1,40.5
47065,TN,Hamilton,379864,38.3,15.4,12.7,22.4,34.5
47067,TN,Hancock,6956,49.5,29.4,20.3,39.0,43.0
47069,TN,Hardeman,25567,45.9,22.2,17.2,34.1,43.7
47071,TN,Hardin,27229,45.7,22.7,17.1,33.3,38.1
47073,TN,Hawkins,58600,43.9,21.2,16.0,31.6,41.1
47075,TN,Haywood,17328,51.2,22.9,20.7,38.7,46.6
47077,TN,Henderson,28070,43.0,21.5,15.4,31.1,38.8
47079,TN,Henry,32554,45.1,21.0,16.9,32.5,38.2
47081,TN,Hickman,25826,41.4,20.9,14.1,29.7,38.4
47083,TN,Houston,8393,42.4,20.2,14.7,30.1,39.5
47085,TN,Humphreys,19209,42.4,20.6,15.0,29.5,41.2
47087,TN,Jackson,12363,44.8,23.2,17.0,33.0,39.4
47089,TN,Jefferson,57838,40.9,18.1,13.6,27.1,37.3
47091,TN,Johnson,18375,46.2,23.2,17.5,33.7,40.0
47093,TN,Knox,500669,36.5,15.0,12.0,23.3,33.5
47095,TN,Lake,6347,48.3,29.4,19.0,39.6,47.2
47097,TN,Lauderdale,24610,45.5,23.4,17.2,34.5,47.2
47099,TN,Lawrence,46114,42.0,21.4,14.9,30.5,41.5
47101,TN,Lewis,13066,42.0,20.8,14.9,29.8,39.2
47103,TN,Lincoln,36169,42.1,18.9,14.8,28.8,40.5
47105,TN,Loudon,60591,44.8,15.9,15.1,27.1,36.4
47107,TN,McMinn,55678,43.3,19.7,15.4,30.0,46.8
47109,TN,McNairy,26163,44.3,22.0,16.2,31.3,39.4
47111,TN,Macon,26793,39.4,22.7,14.6,31.8,43.1
47113,TN,Madison,99193,43.7,18.4,16.2,30.4,43.8
47115,TN,Marion,29382,44.0,21.7,16.2,31.1,40.6
47117,TN,Marshall,36961,39.9,18.8,13.6,27.2,40.0
47119,TN,Maury,110760,39.0,16.4,12.6,24.6,35.2
47121,TN,Meigs,13691,44.9,22.2,15.9,31.1,40.8
47123,TN,Monroe,48594,45.2,21.7,15.9,31.9,39.1
47125,TN,Montgomery,239872,33.9,15.6,10.8,23.7,38.4
47127,TN,Moore,6748,42.7,18.8,14.7,28.6,38.8
47129,TN,Morgan,21573,42.4,22.2,14.8,30.4,43.4
47131,TN,Obion,30411,43.7,21.1,16.2,32.2,40.2
47133,TN,Overton,23327,43.5,22.7,15.7,30.7,40.9
47135,TN,Perry,8891,44.6,23.6,16.4,33.5,40.1
47137,TN,Pickett,5128,49.0,23.5,19.1,35.1,41.8
47139,TN,Polk,18033,43.8,20.7,15.1,30.5,43.7
47141,TN,Putnam,83844,37.0,17.6,12.4,25.4,37.5
47143,TN,Rhea,33924,43.2,21.5,15.7,31.2,42.5
47145,TN,Roane,56096,43.3,18.9,14.7,29.5,37.0
47147,TN,Robertson,76776,38.2,18.0,12.7,27.2,37.0
47149,TN,Rutherford,367101,34.0,14.6,10.9,22.9,37.9
47151,TN,Scott,22171,44.1,26.4,16.6,35.4,43.4
47153,TN,Sequatchie,17161,44.7,22.7,16.7,32.5,39.4
47155,TN,Sevier,99415,40.8,18.8,14.4,27.2,38.4
47157,TN,Shelby,910042,43.0,17.2,15.9,27.5,39.7
47159,TN,Smith,20538,39.1,19.7,13.5,27.7,39.1
47161,TN,Stewart,14222,41.4,18.7,14.0,27.6,38.1
47163,TN,Sullivan,162135,42.0,19.2,15.2,29.1,37.8
47165,TN,Sumner,207994,37.0,15.3,12.2,23.6,40.6
47167,TN,Tipton,62015,42.1,19.0,14.2,28.0,44.1
47169,TN,Trousdale,12271,35.9,20.8,11.7,27.9,39.1
47171,TN,Unicoi,17756,45.2,21.4,16.5,31.9,39.3
47173,TN,Union,20741,41.2,21.3,14.6,29.5,40.3
47175,TN,Van Buren,6493,45.1,21.1,16.0,31.0,39.2
47177,TN,Warren,42638,42.1,21.4,15.5,31.8,42.3
47179,TN,Washington,138420,36.9,16.9,12.8,25.4,35.5
47181,TN,Wayne,16066,42.7,23.1,15.4,31.5,40.5
47183,TN,Weakley,33084,38.3,19.0,13.9,28.9,39.1
47185,TN,White,28692,43.3,22.1,15.6,32.1,39.7
47187,TN,Williamson,264460,35.0,10.4,10.0,18.1,29.4
47189,TN,Wilson,163674,35.7,14.4,11.3,21.8,31.2
48001,TX,Anderson,57736,38.6,17.4,13.9,30.6,39.9
48003,TX,Andrews,18664,31.9,14.5,12.7,31.1,36.7
48005,TX,Angelina,87319,41.3,17.1,14.9,33.4,40.8
48007,TX,Aransas,25374,43.5,14.1,15.9,30.2,36.0
48009,TX,Archer,9029,38.1,14.6,12.7,26.5,34.9
48011,TX,Armstrong,1832,38.0,12.8,12.6,24.9,33.3
48013,TX,Atascosa,51784,36.8,13.7,15.4,35.0,42.2
48015,TX,Austin,31677,39.5,14.6,14.7,30.1,37.3
48017,TX,Bailey,6672,35.6,14.4,15.5,36.4,38.8
48019,TX,Bandera,22637,42.6,13.9,15.7,29.7,35.5
48021,TX,Bastrop,110778,35.7,14.0,13.4,31.3,40.2
48023,TX,Baylor,3463,41.3,16.2,14.9,30.8,36.1
48025,TX,Bee,30850,34.2,14.8,13.9,32.9,39.2
48027,TX,Bell,393193,33.2,13.3,12.6,29.3,43.2
48029,TX,Bexar,2087679,33.5,12.2,13.9,30.6,34.1
48031,TX,Blanco,13048,38.7,11.5,13.1,24.1,34.5
48033,TX,Borden,572,39.6,12.4,13.2,25.5,33.2
48035,TX,Bosque,18996,40.0,14.2,14.3,28.2,35.9
48037,TX,Bowie,91687,38.9,16.0,13.8,29.1,36.7
48039,TX,Brazoria,398938,34.6,11.6,12.0,25.6,36.3
48041,TX,Brazos,244703,27.8,11.7,9.7,24.2,29.4
48043,TX,Brewster,9513,35.0,9.7,12.8,24.9,32.8
48045,TX,Briscoe,1445,43.4,16.8,17.5,34.5,39.5
48047,TX,Brooks,6848,38.3,15.4,19.8,42.8,42.6
48049,TX,Brown,38709,38.1,15.3,14.0,30.1,34.9
48051,TX,Burleson,19475,39.3,14.1,14.0,28.7,35.9
48053,TX,Burnet,53991,38.3,13.1,13.5,26.8,35.3
48055,TX,Caldwell,49859,34.9,14.4,14.6,33.3,42.2
48057,TX,Calhoun,19696,36.8,13.0,14.7,31.3,34.8
48059,TX,Callahan,14374,38.5,14.7,13.2,26.5,36.2
48061,TX,Cameron,426710,34.0,13.0,18.3,36.9,40.3
48063,TX,Camp,13000,40.9,17.2,16.1,33.8,40.0
48065,TX,Carson,5878,36.0,13.1,11.7,24.2,34.0
48067,TX,Cass,28659,42.8,17.2,15.7,30.8,39.3
48069,TX,Castro,7227,36.2,13.3,15.5,34.2,38.2
48071,TX,Chambers,53876,32.1,13.4,10.8,25.0,35.0
48073,TX,Cherokee,52217,38.7,16.9,14.7,31.8,35.7
48075,TX,Childress,6788,34.0,14.7,12.0,29.6,36.1
48077,TX,Clay,10738,39.3,14.2,13.2,26.4,34.9
48079,TX,Cochran,2509,39.8,19.3,18.6,41.7,42.6
48081,TX,Coke,3352,42.3,15.3,15.9,31.7,36.3
48083,TX,Coleman,7842,41.9,15.5,15.4,29.8,37.2
48085,TX,Collin,1195359,30.4,9.3,9.5,20.0,32.3
48087,TX,Collingsworth,2563,39.9,16.5,15.5,32.0,39.3
48089,TX,Colorado,21117,40.0,13.6,14.9,29.9,36.2
48091,TX,Comal,193928,34.3,10.5,11.2,21.8,35.0
48093,TX,Comanche,14050,40.1,14.5,14.8,30.5,36.7
48095,TX,Concho,3297,38.5,15.8,14.2,32.0,37.1
48097,TX,Cooke,43782,37.4,14.5,13.0,27.7,36.1
48099,TX,Coryell,84878,30.4,14.1,10.3,26.8,37.3
48101,TX,Cottle,1294,45.1,17.6,18.8,35.4,40.6
48103,TX,Crane,4574,34.3,14.3,15.0,36.0,39.7
48105,TX,Crockett,2858,37.7,14.3,16.5,35.3,37.7
48107,TX,Crosby,4917,39.5,15.9,17.1,37.0,40.5
48109,TX,Culberson,2196,40.2,16.1,19.3,40.8,40.3
48111,TX,Dallam,7237,35.1,16.9,14.7,35.6,39.6
48113,TX,Dallas,2606358,33.1,12.5,12.5,30.5,35.7
48115,TX,Dawson,12004,36.0,17.1,15.3,36.5,39.4
48117,TX,Deaf Smith,18347,35.5,15.7,16.4,39.8,40.7
48119,TX,Delta,5520,39.1,15.9,13.7,28.3,37.1
48121,TX,Denton,1007703,29.5,9.8,9.9,21.2,33.7
48123,TX,DeWitt,19929,40.2,16.0,16.0,33.0,37.6
48125,TX,Dickens,1711,43.0,15.1,16.7,32.5,37.5
48127,TX,Dimmit,8257,42.3,18.9,23.4,49.5,46.8
48129,TX,Donley,3214,39.4,14.3,14.0,28.8,34.2
48131,TX,Duval,9604,38.4,14.8,18.8,41.1,41.2
48133,TX,Eastland,18037,38.7,15.6,14.1,29.8,35.5
48135,TX,Ector,164494,30.5,14.2,12.8,31.8,40.0
48137,TX,Edwards,1393,44.6,15.0,19.3,36.4,38.2
48139,TX,Ellis,222829,34.2,12.6,11.6,25.8,37.2
48141,TX,El Paso,869880,33.1,12.1,15.4,33.4,34.0
48143,TX,Erath,44195,30.9,12.9,10.8,25.1,33.4
48145,TX,Falls,17286,40.9,17.1,16.1,33.8,40.0
48147,TX,Fannin,37571,37.5,16.6,13.2,29.1,39.2
48149,TX,Fayette,25474,39.3,12.3,13.8,26.5,33.9
48151,TX,Fisher,3612,40.0,13.4,14.5,28.8,36.1
48153,TX,Floyd,5090,38.9,15.2,17.0,36.5,39.1
48155,TX,Foard,1079,45.4,18.0,18.2,35.6,40.1
48157,TX,Fort Bend,916778,31.8,9.8,12.0,24.3,30.1
48159,TX,Franklin,10735,38.4,13.1,13.0,25.5,35.3
48161,TX,Freestone,20441,41.0,16.0,14.7,30.1,38.2
48163,TX,Frio,17987,33.1,15.0,15.3,38.6,40.5
48165,TX,Gaines,22523,30.8,16.4,11.8,31.8,36.1
48167,TX,Galveston,361744,35.7,12.3,12.3,25.4,34.0
48169,TX,Garza,4517,35.5,16.9,14.9,36.0,39.9
48171,TX,Gillespie,27733,40.3,11.1,13.6,25.6,32.8
48173,TX,Glasscock,1141,32.4,10.8,10.9,23.3,34.0
48175,TX,Goliad,7144,40.5,14.2,15.6,30.4,37.0
48177,TX,Gonzales,19930,38.8,15.8,16.0,35.8,39.4
48179,TX,Gray,20916,37.6,16.4,13.9,31.6,38.5
48181,TX,Grayson,146907,36.1,14.4,12.5,27.4,33.9
48183,TX,Gregg,126243,37.6,15.3,13.5,29.1,36.8
48185,TX,Grimes,32384,38.7,15.7,14.4,30.1,37.1
48187,TX,Guadalupe,188454,33.8,12.5,12.8,25.9,34.7
48189,TX,Hale,31761,36.3,15.7,15.6,36.1,38.9
48191,TX,Hall,2818,42.7,15.6,17.5,34.4,39.1
48193,TX,Hamilton,8619,41.3,15.3,14.6,30.0,36.1
48195,TX,Hansford,5071,34.6,13.6,13.6,31.0,36.8
48197,TX,Hardeman,3490,40.5,15.8,15.2,31.2,37.6
48199,TX,Hardin,58261,36.7,15.6,12.4,26.8,34.0
48201,TX,Harris,4835125,32.8,12.7,13.2,26.8,37.3
48203,TX,Harrison,70895,38.6,15.2,13.8,29.5,38.8
48205,TX,Hartley,5145,34.9,13.4,12.0,26.8,34.5
48207,TX,Haskell,5385,39.3,16.3,14.9,32.1,36.6
48209,TX,Hays,280486,29.0,10.8,10.2,23.1,34.5
48211,TX,Hemphill,3189,34.1,11.7,11.6,25.5,32.7
48213,TX,Henderson,86158,40.6,16.1,14.5,30.1,35.4
48215,TX,Hidalgo,898471,33.4,13.3,17.4,37.5,44.2
48217,TX,Hill,38101,38.8,15.3,14.2,30.4,36.9
48219,TX,Hockley,21460,35.1,14.5,14.1,32.0,36.1
48221,TX,Hood,67774,38.0,12.0,12.5,24.7,33.2
48223,TX,Hopkins,38172,37.5,15.5,13.4,29.6,37.5
48225,TX,Houston,22066,43.4,17.9,16.8,33.7,38.2
48227,TX,Howard,30554,34.8,15.1,13.7,32.1,38.4
48229,TX,Hudspeth,3451,33.0,18.7,14.3,38.5,41.0
48231,TX,Hunt,113347,35.6,15.2,12.3,28.0,36.7
48233,TX,Hutchinson,20033,36.0,14.8,12.9,28.2,35.1
48235,TX,Irion,1549,37.7,12.8,13.4,26.7,35.1
48237,TX,Jack,8875,37.5,17.5,13.4,30.4,37.8
48239,TX,Jackson,15221,38.6,15.0,14.7,31.7,37.7
48241,TX,Jasper,32694,43.2,18.9,16.3,33.5,41.1
48243,TX,Jeff Davis,1856,50.1,14.4,21.2,34.2,37.9
48245,TX,Jefferson,251496,39.8,16.1,15.6,31.9,41.3
48247,TX,Jim Hogg,4720,41.6,17.2,22.8,47.7,44.7
48249,TX,Jim Wells,38662,37.3,14.6,18.0,40.2,40.6
48251,TX,Johnson,202906,33.8,14.4,11.9,27.0,33.4
48253,TX,Jones,20381,36.2,17.1,13.0,30.7,38.7
48255,TX,Karnes,15018,35.3,16.0,14.0,34.1,38.9
48257,TX,Kaufman,185690,32.5,14.0,11.2,27.3,38.0
48259,TX,Kendall,50537,34.9,10.0,11.1,21.2,34.3
48261,TX,Kenedy,343,38.2,15.1,18.5,40.2,37.9
48263,TX,Kent,734,38.9,11.5,12.9,25.2,32.5
48265,TX,Kerr,53915,40.3,12.4,14.7,28.0,34.4
48267,TX,Kimble,4442,43.8,14.8,16.6,31.5,36.8
48269,TX,King,217,45.0,17.5,16.8,32.5,37.8
48271,TX,Kinney,3148,39.2,12.2,15.8,32.0,36.8
48273,TX,Kleberg,30069,31.5,12.1,14.0,33.9,37.1
48275,TX,Knox,3302,40.3,15.6,15.6,32.4,37.8
48277,TX,Lamar,51127,39.9,16.7,14.3,30.1,38.5
48279,TX,Lamb,12711,38.2,15.2,16.6,35.9,40.0
48281,TX,Lampasas,23262,38.5,14.2,14.0,27.8,35.1
48283,TX,La Salle,6537,33.6,15.3,15.5,39.8,38.8
48285,TX,Lavaca,20571,40.6,14.4,14.6,29.7,36.3
48287,TX,Lee,18240,40.6,16.4,15.4,31.9,39.8
48289,TX,Leon,16538,41.6,15.9,15.3,30.5,36.2
48291,TX,Liberty,108272,35.4,17.8,13.9,34.5,40.1
48293,TX,Limestone,22250,41.9,16.6,16.1,32.8,39.7
48295,TX,Lipscomb,2906,38.6,14.5,14.8,30.6,36.7
48297,TX,Live Oak,11584,40.0,16.8,16.2,35.0,39.7
48299,TX,Llano,22875,44.8,12.5,15.7,28.1,35.8
48303,TX,Lubbock,320940,30.3,12.6,11.4,27.6,35.4
48305,TX,Lynn,5761,37.5,15.9,15.2,32.5,38.6
48307,TX,McCulloch,7452,40.4,15.1,15.5,32.1,36.4
48309,TX,McLennan,268583,34.3,13.5,12.5,27.9,34.8
48311,TX,McMullen,568,42.1,15.9,17.8,35.5,38.6
48313,TX,Madison,13742,36.1,16.2,13.1,31.5,37.1
48315,TX,Marion,9571,46.8,17.7,18.1,33.1,39.1
48317,TX,Martin,5216,32.3,14.0,12.1,29.3,36.0
48319,TX,Mason,3931,41.2,11.5,14.4,26.8,33.5
48321,TX,Matagorda,36359,39.6,15.3,16.4,33.8,39.4
48323,TX,Maverick,57762,34.4,14.2,17.8,41.7,43.9
48325,TX,Medina,54797,37.1,12.6,14.4,30.5,39.5
48327,TX,Menard,1958,44.2,14.0,17.6,33.3,36.5
48329,TX,Midland,177108,30.5,12.0,10.8,26.6,35.9
48331,TX,Milam,25951,40.2,15.3,14.9,31.1,37.1
48333,TX,Mills,4548,40.4,12.7,14.1,26.9,33.0
48335,TX,Mitchell,9075,35.4,16.0,13.3,31.8,38.4
48337,TX,Montague,21598,38.7,15.7,13.4,28.4,35.0
48339,TX,Montgomery,711354,31.9,11.8,11.4,23.5,31.8
48341,TX,Moore,21190,34.5,15.7,14.9,35.9,39.0
48343,TX,Morris,12066,42.7,16.7,15.9,31.6,39.0
48345,TX,Motley,1020,41.8,14.4,14.7,28.8,35.2
48347,TX,Nacogdoches,65375,35.0,14.9,13.2,29.8,33.2
48349,TX,Navarro,55635,38.4,16.6,15.3,32.9,38.1
48351,TX,Newton,12039,46.2,22.2,18.6,37.1,42.8
48353,TX,Nolan,14306,40.3,17.3,16.5,35.8,40.5
48355,TX,Nueces,352289,36.2,13.1,15.8,31.8,39.7
48357,TX,Ochiltree,9704,34.8,14.9,14.1,33.4,39.2
48359,TX,Oldham,1783,36.3,15.3,13.3,28.6,36.1
48361,TX,Orange,85722,36.6,15.7,12.4,27.6,38.4
48363,TX,Palo Pinto,29747,38.6,16.3,14.4,30.7,39.4
48365,TX,Panola,22838,39.3,15.6,13.8,28.7,37.4
48367,TX,Parker,173494,34.0,12.9,10.7,23.4,35.5
48369,TX,Parmer,9617,34.9,13.4,15.0,33.8,37.0
48371,TX,Pecos,14623,36.2,15.8,16.5,37.4,40.2
48373,TX,Polk,54186,40.7,18.9,15.4,32.4,39.2
48375,TX,Potter,114647,37.6,17.3,15.3,34.9,41.8
48377,TX,Presidio,5795,42.9,14.6,22.2,43.7,41.0
48379,TX,Rains,12986,40.5,14.6,14.1,27.5,35.8
48381,TX,Randall,148255,32.8,12.0,10.8,23.5,35.1
48383,TX,Reagan,3141,34.3,13.1,14.5,33.0,39.1
48385,TX,Real,2854,45.5,16.4,18.3,34.6,38.1
48387,TX,Red River,11678,44.8,17.5,16.9,32.5,38.5
48389,TX,Reeves,11770,35.6,15.6,17.6,41.5,40.7
